District,State_UT,NFHS_Households_Surveyed,Female_6plus_Ever_Attended_School_pct,Population_Below_15_pct,Sex_Ratio_Females_per_1000_Males,Households_Electricity_pct,Improved_Drinking_Water_pct,Improved_Sanitation_pct,Clean_Cooking_Fuel_pct,Health_Insurance_Coverage_pct,Women_15_49_Literate_pct,ANC_4plus_pct,Institutional_Births_pct,Skilled_Birth_Attendance_pct,Fully_Vaccinated_12_23m_pct,Diarrhoea_Taken_to_Health_Facility_pct,ARI_Taken_to_Health_Facility_pct,Under5_Stunted_pct,Children_6_59m_Anaemic_pct,Population_2011,Rural_Population_2011,Sub_Centres,PHCs,CHCs,Sub_Divisional_Hospitals,District_Hospitals,PHCs_per_100k_rural,CHCs_per_100k_rural,SubCentres_per_100k_rural,PHC_coverage_vs_general_norm,CHC_coverage_vs_general_norm,District_Match_Score,District_Match_Method
Shajapur,Madhya Pradesh,970,62.63,24.95,957.18,99.87,91.75,74.51,37.71,34.33,61.98,64.68,98.14,95.37,89.98,,77.16,27.82,76.07,1512681,1219133,119,18,5,3,1,1.4764590901895036,0.4101275250526399,9.76103509625283,0.4429377270568511,0.4921530300631678,100.0,Exact
Nandurbar,Maharastra,897,63.51,26.6,960.8,96.17,94.6,54.09,40.3,15.34,57.66,58.17,76.29,77.94,72.4,,77.17,45.82,79.29,1648295,1372821,293,63,12,2,1,4.589090638910681,0.8741125026496536,21.342913606362373,1.3767271916732042,1.0489350031795843,100.0,Exact
Dhule,Maharastra,838,73.54,27.34,999.46,95.96,89.92,58.9,65.05,19.83,68.75,63.17,77.2,84.2,56.61,,75.22,37.6,72.18,2050862,1479826,232,47,5,2,1,3.176049076040021,0.3378775612808533,15.677518843431592,0.9528147228120064,0.4054530735370239,100.0,Exact
Jalgaon,Maharastra,842,77.49,25.06,983.22,96.77,94.32,59.73,79.46,11.89,76.51,58.39,86.51,81.86,,,61.83,36.34,85.18,4229917,2887206,442,95,17,3,0,3.290378310380347,0.5888045397522726,15.308918033559088,0.987113493114104,0.7065654477027271,100.0,Exact
Buldana,Maharastra,931,78.06,23.99,957.44,97.08,89.71,68.86,69.15,37.88,79.88,72.7,93.94,92.39,,,,44.95,79.4,2586258,2037398,280,58,12,1,1,2.846768279933523,0.5889865406759013,13.743019282437698,0.8540304839800569,0.7067838488110816,93.33333333333331,Fuzzy
Akola,Maharastra,926,86.29,23.53,951.1,97.59,95.09,69.48,75.52,40.12,87.52,76.28,97.67,86.42,69.51,,75.75,31.79,77.5,1813906,1094165,178,42,5,1,0,3.838543546905632,0.456969469869718,16.26811312736196,1.1515630640716894,0.5483633638436616,100.0,Exact
Washim,Maharastra,903,75.95,21.95,947.5,97.16,73.71,61.48,61.35,24.12,77.95,59.97,92.94,83.09,71.58,79.46,79.38,35.32,70.36,1197160,985747,150,27,6,1,1,2.739039530427178,0.6086754512060397,15.216886280150993,0.8217118591281536,0.7304105414472477,100.0,Exact
Amravati,Maharastra,913,86.16,21.14,994.42,99.06,95.81,75.71,71.72,31.87,87.81,71.7,91.34,89.72,,,78.5,29.04,74.41,2888445,1851158,334,75,9,5,1,4.051518022772773,0.4861821627327327,18.04276026141475,1.2154554068318315,0.5834185952792792,100.0,Exact
Wardha,Maharastra,909,85.05,20.37,979.06,98.81,98.46,80.23,83.86,27.06,92.95,70.37,98.79,98.98,,,,27.65,71.38,1300774,877474,181,32,9,2,1,3.646831700996269,1.0256714159052005,20.627391808760144,1.0940495102988808,1.2308056990862408,100.0,Exact
Nagpur,Maharastra,917,86.5,20.9,971.17,99.51,99.48,88.85,96.03,25.61,94.59,71.44,100.0,96.63,89.41,,,27.6,70.47,4653570,1474811,316,105,10,2,0,7.119556336371237,0.6780529844163082,21.426474307555345,2.135866900911371,0.8136635812995698,100.0,Exact
Bhandara,Maharastra,918,80.28,22.5,1004.44,98.83,92.03,81.82,71.4,29.96,89.09,78.97,100.0,98.37,,,,31.25,72.75,1200334,966503,193,34,7,2,1,3.517836985503408,0.7242605558389368,19.968898182416403,1.0553510956510224,0.8691126670067243,100.0,Exact
Gondiya,Maharastra,915,80.35,21.57,993.71,98.22,91.56,74.31,68.01,30.6,87.52,66.2,99.14,98.3,,,,36.94,78.03,1322507,1096577,258,41,10,1,0,3.7389075276975534,0.9119286652920864,23.527759564535824,1.1216722583092662,1.0943143983505037,92.3076923076923,Fuzzy
Gadchiroli,Maharastra,921,67.07,22.74,1047.91,95.81,82.99,62.39,60.53,33.28,79.35,86.76,97.33,98.22,,,,35.71,76.57,1072942,954909,376,48,9,3,1,5.0266569903519605,0.9424981856909924,39.37547975775703,1.507997097105588,1.130997822829191,100.0,Exact
Yavatmal,Maharastra,913,77.58,22.12,985.87,97.15,89.45,66.44,71.8,29.03,80.75,66.92,96.29,96.79,74.68,,,36.62,75.21,2772348,2174195,450,69,14,3,0,3.173588385586389,0.6439164840320211,20.697315558172107,0.9520765156759168,0.7726997808384252,100.0,Exact
Nanded,Maharastra,908,68.12,24.76,970.09,96.44,94.76,68.04,64.54,15.73,71.91,53.48,94.81,92.56,75.65,,81.59,35.98,76.12,3361292,2447394,379,79,13,4,1,3.227923252242998,0.531177244039987,15.485859653165774,0.9683769756728994,0.6374126928479844,100.0,Exact
Hingoli,Maharastra,907,69.43,24.83,961.97,98.13,92.41,69.04,53.1,14.66,76.54,66.61,94.04,95.25,76.88,,69.49,37.39,72.51,1177345,998612,132,27,3,2,1,2.703752808898752,0.3004169787665279,13.21834706572723,0.8111258426696254,0.3605003745198335,100.0,Exact
Parbhani,Maharastra,860,67.08,29.5,965.81,96.8,88.97,60.05,54.76,10.5,73.36,47.35,85.61,90.83,51.99,76.7,74.46,37.63,75.42,1836086,1266280,214,38,6,2,1,3.0009160691158354,0.4738288530182898,16.899895757652335,0.9002748207347506,0.5685946236219478,100.0,Exact
Jalna,Maharastra,863,67.62,26.86,948.18,95.72,82.78,63.64,56.39,9.65,71.81,58.39,92.79,86.49,54.34,76.37,68.7,37.97,68.31,1959046,1581617,218,44,9,1,1,2.781963016330755,0.5690378897040181,13.783362217275103,0.8345889048992265,0.6828454676448217,100.0,Exact
Aurangabad,Maharastra,875,78.43,27.35,978.43,97.02,91.65,69.11,78.44,12.44,83.1,57.21,94.8,96.26,56.65,,64.19,34.22,64.5,3701282,2081112,279,74,10,3,1,3.555791326944441,0.4805123414789786,13.406294327263502,1.0667373980833323,0.5766148097747742,100.0,Exact
Nashik,Maharastra,860,78.19,25.48,913.16,95.3,86.34,68.32,72.5,14.73,79.99,66.41,90.49,89.93,70.37,75.32,76.26,42.21,67.28,6107187,3509814,589,155,24,6,1,4.416188436196334,0.6837969191529807,16.78151605754607,1.3248565308589002,0.820556302983577,100.0,Exact
Mumbai Suburban,Maharastra,635,88.54,20.21,921.36,99.17,99.79,62.63,98.68,20.19,91.58,72.2,98.08,98.53,,,,37.23,65.56,9356962,0,0,100,0,0,0,,,,,,100.0,Exact
Mumbai,Maharastra,826,92.5,16.17,938.54,99.64,100.0,58.55,98.25,30.69,94.26,87.05,99.53,98.27,,,,26.6,72.79,3085411,0,0,38,0,0,0,,,,,,100.0,Exact
Pune,Maharastra,786,84.81,22.82,917.68,99.37,96.93,79.62,89.49,14.42,89.01,68.59,97.97,98.46,,,94.33,30.7,58.73,9429408,3678226,546,192,41,5,1,5.21990764025919,1.1146677773470144,14.844112351987071,1.565972292077757,1.3376013328164174,100.0,Exact
Ahmadnagar,Maharastra,883,77.4,23.01,966.65,94.48,89.98,79.5,77.44,12.03,86.19,76.61,97.9,95.0,83.53,,,31.68,64.45,4543159,3630542,565,107,23,2,1,2.9472183492161776,0.63351422459787,15.562414647730284,0.8841655047648532,0.7602170695174439,90.0,Fuzzy
Latur,Maharastra,906,70.63,23.68,978.57,97.24,94.6,72.46,78.47,33.59,83.29,72.64,94.71,93.4,79.2,,64.45,43.17,59.5,2454196,1829216,252,60,10,1,0,3.280093766947151,0.5466822944911919,13.776393821178036,0.9840281300841454,0.6560187533894303,100.0,Exact
Osmanabad,Maharastra,919,71.3,24.72,992.4,96.76,96.41,71.17,69.66,14.82,83.7,89.15,98.08,99.03,89.27,,71.24,37.23,67.43,1657576,1376519,215,46,6,4,1,3.3417628089405227,0.4358821055139812,15.619108780917662,1.002528842682157,0.5230585266167775,100.0,Exact
Solapur,Maharastra,912,71.96,25.68,961.75,97.12,90.35,67.77,73.07,20.49,76.44,81.92,96.23,96.25,83.63,,80.7,36.33,70.92,4317756,2918665,430,96,16,3,0,3.289175016660014,0.5481958361100023,14.732763095456312,0.9867525049980044,0.6578350033320028,100.0,Exact
Satara,Maharastra,896,78.47,20.57,1048.91,97.9,95.55,78.71,82.1,11.36,87.18,81.69,97.1,97.85,,,77.7,20.17,68.94,3003741,2433363,402,76,15,2,1,3.1232495932583832,0.6164308407746809,16.520346532761447,0.9369748779775152,0.7397170089296172,100.0,Exact
Ratnagiri,Maharastra,869,80.25,16.32,1069.03,99.23,90.9,85.55,58.05,16.55,87.2,78.56,97.79,95.55,,,,31.74,69.35,1615069,1351346,378,70,8,3,1,5.180020512881232,0.5920023443292836,27.972110769558647,1.5540061538643697,0.7104028131951403,100.0,Exact
Sindhudurg,Maharastra,861,83.07,16.17,1034.71,99.38,73.19,87.85,66.03,13.23,92.07,73.35,100.0,98.63,,,,30.83,55.64,849651,742645,248,38,7,3,1,5.116845868483596,0.942576870510136,33.39415198378768,1.5350537605450787,1.1310922446121632,100.0,Exact
Kolhapur,Maharastra,887,80.18,20.72,1024.9,98.75,97.29,82.03,84.68,16.45,90.74,81.75,99.18,93.6,,,,33.58,66.4,3876001,2645992,413,92,18,4,0,3.4769568464303746,0.6802741656059429,15.608512799736356,1.0430870539291124,0.8163289987271315,100.0,Exact
Sangli,Maharastra,898,80.38,21.37,1027.44,98.19,96.75,84.69,87.31,12.28,90.33,80.09,98.01,97.63,74.95,,,34.97,62.74,2822143,2102786,328,75,14,2,0,3.566696753735283,0.6657833940305861,15.5983538030023,1.0700090261205848,0.7989400728367033,100.0,Exact
Thane,Maharastra,755,86.1,22.47,981.59,99.29,96.73,74.68,90.4,22.73,90.49,70.19,93.62,93.86,,,,40.76,67.94,11060148,2545470,180,143,12,3,1,5.617823034645861,0.4714257092010513,7.071385638015769,1.6853469103937582,0.5657108510412615,100.0,Exact
Senapati,Manipur,859,79.62,32.96,1053.3,98.8,64.4,84.38,49.95,15.35,81.89,64.92,45.75,65.02,64.96,,,27.31,48.48,479148,471672,32,8,1,0,1,1.6960938957580691,0.2120117369697586,6.7843755830322765,0.5088281687274208,0.2544140843637104,100.0,Exact
Tamenglong,Manipur,882,78.4,33.2,1031.71,93.63,51.6,77.91,30.54,16.77,76.79,56.42,57.69,69.85,67.37,,,27.08,36.95,140651,121288,15,3,0,0,1,2.473451619286327,0.0,12.367258096431634,0.7420354857858981,0.0,100.0,Exact
Churachandpur,Manipur,847,84.0,34.1,1144.31,93.97,62.49,81.15,62.32,18.15,84.19,61.31,72.94,80.0,64.87,,,25.07,41.13,274143,255786,50,7,0,0,1,2.736662678958192,0.0,19.54759056398708,0.8209988036874576,0.0,100.0,Exact
Bishnupur,Manipur,907,81.47,26.38,1093.95,98.64,77.68,52.62,71.28,9.31,88.38,77.39,89.5,92.58,66.61,,49.75,15.5,42.35,237399,149894,33,7,2,0,1,4.669966776522076,1.3342762218634503,22.01555766074693,1.4009900329566227,1.6011314662361402,100.0,Exact
Thoubal,Manipur,893,79.87,28.53,1095.31,98.61,72.54,61.25,74.71,19.14,85.4,89.88,87.8,91.07,74.24,,,31.48,39.7,422168,270835,37,10,3,0,1,3.6922849705540273,1.1076854911662082,13.6614543910499,1.1076854911662082,1.3292225893994498,100.0,Exact
Imphal West,Manipur,885,89.01,24.8,1040.57,99.42,89.12,58.71,88.57,15.68,92.5,93.39,95.67,97.98,,,,15.58,41.78,517992,195113,54,12,2,0,0,6.150282144193365,1.0250470240322274,27.67626964887014,1.8450846432580092,1.230056428838673,100.0,Exact
Imphal East,Manipur,896,87.17,25.95,1058.52,98.61,90.18,59.47,78.97,6.97,90.03,87.1,91.65,93.0,76.19,,44.15,18.38,50.32,456113,272906,44,14,1,0,0,5.129971492015566,0.3664265351439689,16.122767546334636,1.5389914476046698,0.4397118421727627,100.0,Exact
Ukhrul,Manipur,865,83.68,30.87,968.93,94.95,50.85,81.44,22.86,17.03,86.89,38.81,44.58,54.51,39.36,,,27.14,34.61,183998,156811,18,6,0,0,1,3.8262621882393457,0.0,11.478786564718035,1.1478786564718038,0.0,100.0,Exact
Chandel,Manipur,847,76.87,29.8,1076.94,99.85,68.64,85.2,52.0,16.11,80.17,66.62,55.52,74.03,55.54,,,33.98,42.36,144182,127335,15,2,1,0,1,1.5706600698943731,0.7853300349471866,11.779950524207798,0.4711980209683118,0.9423960419366236,100.0,Exact
South Garo Hills,Meghalaya,921,89.18,31.44,983.61,98.64,60.35,88.39,22.31,79.5,88.57,33.25,88.28,91.19,,,,29.83,33.56,142334,129203,26,7,1,0,1,5.417830855320696,0.7739758364743853,20.123371748334016,1.625349256596209,0.9287710037692624,100.0,Exact
Ribhoi,Meghalaya,927,85.32,40.36,997.56,92.08,86.16,85.32,21.04,66.84,89.46,60.95,56.94,65.77,74.76,53.47,68.71,42.49,45.67,258840,233587,35,10,3,0,1,4.281060161738453,1.284318048521536,14.983710566084584,1.2843180485215355,1.541181658225843,100.0,Exact
East Khasi Hills,Meghalaya,918,88.66,34.25,1049.3,96.59,90.01,80.92,47.38,47.09,93.74,57.45,63.41,68.72,49.12,,72.65,44.64,38.97,825922,459441,74,44,6,1,2,9.57685535248269,1.3059348207930943,16.10652945644816,2.8730566057448077,1.567121784951713,100.0,Exact
East Garo Hills,Meghalaya,919,90.89,31.05,1025.95,97.38,67.0,83.92,29.09,71.85,86.67,25.52,73.82,80.83,72.4,,64.07,39.73,28.0,317917,273725,31,9,1,0,1,3.2879715042469635,0.3653301671385515,11.325235181295096,0.9863914512740888,0.4383962005662617,100.0,Exact
West Garo Hills,Meghalaya,923,88.71,30.79,1024.68,94.74,83.68,86.31,47.56,77.86,88.99,48.03,89.63,87.52,,,,39.5,30.19,643291,568433,67,15,5,1,2,2.6388334245196883,0.8796111415065628,11.78678929618794,0.7916500273559065,1.0555333698078753,100.0,Exact
West Khasi Hills,Meghalaya,924,85.06,50.56,1038.25,84.99,80.52,87.78,8.61,60.12,87.37,64.0,41.74,49.25,62.52,77.35,75.31,58.99,56.19,383461,340356,46,17,2,0,2,4.994770181809635,0.5876200213893688,13.51526049195548,1.4984310545428905,0.7051440256672425,100.0,Exact
Mamit,Mizoram,917,90.66,30.72,991.18,97.93,97.29,92.69,73.27,61.7,89.63,52.48,74.96,81.08,85.87,,,26.41,45.49,86364,71465,39,8,1,0,1,11.194290911635068,1.399286363954383,54.57216819422095,3.35828727349052,1.67914363674526,100.0,Exact
Kolasib,Mizoram,918,93.92,28.58,1002.45,99.14,95.27,96.81,87.5,61.05,96.86,65.98,91.36,93.2,80.35,,,30.4,53.82,83955,37077,28,5,1,0,1,13.485449200312862,2.6970898400625725,75.51851552175202,4.045634760093859,3.236507808075087,100.0,Exact
Aizawl,Mizoram,876,97.83,25.08,1051.82,99.67,98.27,96.06,95.38,37.46,98.86,68.51,97.44,97.78,66.39,,,25.34,43.97,400309,85555,67,12,3,1,2,14.026065104318858,3.5065162760797146,78.31219683244697,4.207819531295658,4.207819531295658,100.0,Exact
Champhai,Mizoram,902,93.28,27.17,944.43,100.0,98.6,98.3,79.44,64.92,97.73,63.43,96.67,97.51,,,,27.22,38.34,125745,77216,34,6,0,0,1,7.770410277662661,0.0,44.03232490675508,2.3311230832987984,0.0,100.0,Exact
Serchhip,Mizoram,915,96.76,29.01,980.64,99.31,97.73,98.2,81.78,58.83,99.72,60.25,96.18,96.79,84.67,,,31.77,43.22,64937,32918,29,5,1,0,1,15.189258156631633,3.037851631326326,88.09769730846345,4.556777446989489,3.645421957591592,100.0,Exact
Lunglei,Mizoram,915,89.82,24.56,1004.28,97.96,96.0,95.58,79.88,46.52,91.58,56.72,82.69,80.18,,,,26.46,45.71,161428,92676,56,7,0,1,1,7.553196080970262,0.0,60.4255686477621,2.2659588242910784,0.0,100.0,Exact
Lawngtlai,Mizoram,923,79.91,32.81,1050.77,88.98,82.22,90.32,56.26,31.29,75.99,33.01,53.68,59.89,70.2,,,32.72,55.29,117894,97064,38,5,1,0,1,5.151240418692821,1.030248083738564,39.14942718206544,1.5453721256078463,1.2362977004862772,100.0,Exact
Mon,Nagaland,899,79.38,23.46,1006.44,96.36,86.73,86.44,13.0,39.26,78.22,9.66,21.4,30.94,62.38,,,35.51,39.4,250260,215816,57,14,3,0,1,6.487007450791416,1.390073025169589,26.41138747822219,1.9461022352374244,1.6680876302035066,100.0,Exact
Mokokchung,Nagaland,921,88.02,20.4,1041.07,97.68,97.44,96.72,46.2,22.3,94.04,18.21,51.48,61.68,,,,31.44,35.53,194622,138897,55,17,3,0,1,12.239285225742815,2.1598738633663794,39.59768749505029,3.671785567722845,2.5918486360396558,100.0,Exact
Zunheboto,Nagaland,924,87.37,22.21,1131.58,99.39,91.03,88.94,18.58,18.06,87.13,11.21,34.98,40.52,,,,44.01,34.85,140757,113160,47,13,2,0,1,11.488158359844467,1.7674089784376106,41.534110993283846,3.4464475079533408,2.1208907741251326,100.0,Exact
Wokha,Nagaland,921,85.83,21.37,1104.61,99.7,83.41,88.47,41.23,20.6,91.63,34.7,43.59,63.48,,,,26.31,45.35,166343,131339,40,14,2,0,1,10.659438552143689,1.522776936020527,30.45553872041054,3.197831565643107,1.8273323232246328,100.0,Exact
Dimapur,Nagaland,912,89.8,24.5,1009.99,99.84,92.42,81.14,84.2,5.66,86.62,50.08,73.71,80.73,,,,28.27,48.9,378811,180942,54,12,2,0,1,6.631959412408396,1.105326568734733,29.843817355837785,1.9895878237225189,1.3263918824816794,100.0,Exact
Phek,Nagaland,919,80.53,24.29,1020.91,99.41,98.08,90.07,24.19,24.93,85.82,9.48,32.2,50.65,54.59,,,28.0,44.89,163418,138843,49,22,4,0,1,15.845235265731798,2.880951866496691,35.29166036458446,4.75357057971954,3.4571422397960285,100.0,Exact
Tuensang,Nagaland,924,80.51,32.8,945.82,96.55,90.37,92.01,19.68,21.99,77.77,4.36,34.84,39.15,39.94,,,37.12,38.83,196596,159822,36,11,1,0,1,6.882656955863397,0.6256960868966726,22.52505912828021,2.0647970867590195,0.7508353042760071,100.0,Exact
Longleng,Nagaland,924,81.16,28.75,968.95,99.08,76.28,86.63,11.81,38.27,82.0,15.39,38.68,44.61,53.02,,,34.06,40.4,50484,42871,10,3,0,0,1,6.997737398241235,0.0,23.325791327470785,2.0993212194723707,0.0,100.0,Exact
Kiphire,Nagaland,922,77.4,32.37,953.65,97.91,90.86,83.09,16.44,8.76,73.69,5.77,34.77,46.68,42.84,,,36.87,55.21,74004,57517,25,4,1,0,1,6.954465636246675,1.7386164090616687,43.46541022654172,2.0863396908740026,2.0863396908740026,100.0,Exact
Kohima,Nagaland,923,90.35,18.69,954.05,99.49,89.87,87.44,61.68,26.72,95.23,28.31,66.88,78.86,,,,28.25,38.37,267988,146900,42,16,3,0,1,10.891763104152483,2.0422055820285907,28.59087814840027,3.2675289312457454,2.450646698434309,100.0,Exact
Peren,Nagaland,923,81.12,28.52,1079.39,98.2,92.45,89.4,31.37,5.4,77.59,14.54,43.47,52.49,63.3,,,34.88,50.98,95219,81429,18,7,2,0,1,8.596445983617631,2.456127423890752,22.105146815016763,2.578933795085289,2.947352908668901,100.0,Exact
Central,NCT of Delhi,804,84.36,23.93,901.12,99.78,99.65,76.99,98.81,22.61,84.69,73.06,92.2,90.87,,,,33.46,70.34,582320,0,1,70,0,4,8,,,,,,100.0,Exact
East,NCT of Delhi,887,84.35,24.55,885.18,99.53,98.36,78.01,99.08,30.67,84.32,89.66,92.57,94.92,74.61,,,35.21,65.94,1709346,3530,0,33,0,0,2,934.8441926345608,0.0,0.0,280.45325779036824,0.0,100.0,Exact
New Delhi,NCT of Delhi,852,85.89,25.28,858.68,100.0,99.11,69.44,98.33,25.18,83.85,80.06,91.76,92.81,82.17,,82.29,27.35,72.85,142004,0,1,72,0,1,2,,,,,,100.0,Exact
North,NCT of Delhi,800,80.75,25.89,904.99,99.83,99.26,70.19,98.06,18.05,81.86,50.64,89.74,91.31,66.23,,69.51,24.95,67.48,887978,17746,0,41,0,0,4,231.03798038994705,0.0,0.0,69.3113941169841,0.0,100.0,Exact
North East,NCT of Delhi,869,82.68,25.78,906.45,99.86,98.2,89.52,99.73,19.36,85.06,86.19,89.19,89.8,86.4,,,38.69,62.54,2241624,21527,0,27,0,1,1,125.42388628234308,0.0,0.0,37.62716588470293,0.0,100.0,Exact
North West,NCT of Delhi,868,84.17,24.4,903.92,100.0,99.66,88.22,99.09,28.21,86.4,77.93,93.97,95.46,78.28,,79.18,26.87,73.62,3656539,213950,0,59,0,1,3,27.57653657396588,0.0,0.0,8.272960972189765,0.0,100.0,Exact
South,NCT of Delhi,875,83.51,22.89,921.78,99.89,100.0,89.46,97.69,28.68,86.62,85.57,81.97,90.0,,,,33.37,65.36,2731929,12193,0,32,0,0,4,262.44566554580496,0.0,0.0,78.73369966374149,0.0,100.0,Exact
West,NCT of Delhi,855,83.28,25.41,952.62,100.0,99.78,76.82,98.99,20.96,83.23,67.06,91.75,93.92,67.52,,82.2,36.12,68.46,2543243,6420,0,59,0,2,4,919.0031152647975,0.0,0.0,275.70093457943926,0.0,100.0,Exact
Bargarh,Odisha,896,72.07,22.18,956.54,98.39,98.04,61.91,31.88,45.51,75.73,70.1,99.59,96.22,95.9,,,38.85,56.16,1481255,1331145,204,49,15,1,1,3.6810415093772657,1.1268494416461017,15.325152406386984,1.1043124528131798,1.352219329975322,100.0,Exact
Jharsuguda,Odisha,854,77.75,19.64,955.8,98.13,88.36,69.99,41.78,37.74,81.01,94.06,98.58,96.77,,,,27.05,65.54,579505,348340,66,20,6,0,1,5.741516908767297,1.722455072630189,18.94700579893208,1.722455072630189,2.066946087156227,100.0,Exact
Sambalpur,Odisha,890,74.62,22.56,1067.36,98.84,92.99,62.36,42.56,49.32,76.55,88.95,99.52,97.62,,,,40.71,64.51,1041099,733006,167,37,11,2,1,5.047707658600339,1.5006698444487494,22.782896729358285,1.5143122975801018,1.8008038133384994,100.0,Exact
Sundargarh,Odisha,862,71.98,21.93,1030.43,97.11,91.47,65.46,40.15,39.34,74.12,73.07,91.34,88.15,,,,32.91,77.05,2093437,1355340,390,71,21,1,2,5.238537931441557,1.5494267121165168,28.77506751073531,1.5715613794324672,1.8593120545398203,100.0,Exact
Kendujhar,Odisha,892,68.16,27.19,1114.81,91.1,92.91,47.59,27.89,43.26,66.96,57.05,80.43,79.92,85.97,46.9,62.13,36.16,64.64,1801733,1548674,351,69,17,2,1,4.455424446978512,1.0977132695454306,22.6645504476733,1.3366273340935535,1.3172559234545165,100.0,Exact
Mayurbhanj,Odisha,896,62.96,25.98,1056.37,90.34,80.09,54.43,16.12,46.45,61.45,52.94,91.68,87.14,84.41,,,36.72,71.73,2519738,2326842,589,88,28,3,1,3.781949956206738,1.2033477133385075,25.313278684156465,1.1345849868620217,1.4440172560062092,100.0,Exact
Baleshwar,Odisha,893,77.13,25.03,1073.48,97.14,98.49,70.86,28.43,40.58,76.46,56.61,97.58,93.46,94.05,,68.07,24.42,43.17,2320529,2067236,275,74,17,1,1,3.579659022965931,0.8223540998705517,13.30278690967069,1.0738977068897797,0.986824919844662,100.0,Exact
Bhadrak,Odisha,853,81.21,26.79,1149.82,97.8,100.0,62.02,22.85,44.93,82.58,74.87,96.06,97.19,83.68,,62.88,32.31,68.68,1506337,1320499,178,55,7,0,1,4.165092135624487,0.5301026354431165,13.479752729839252,1.2495276406873463,0.63612316253174,100.0,Exact
Kendrapara,Odisha,833,84.29,25.09,1127.3,99.54,99.73,57.31,27.91,49.96,86.74,77.1,96.66,94.58,,,72.69,28.64,61.52,1440361,1356827,227,47,8,1,1,3.46396408679957,0.5896109083914162,16.730209525606433,1.039189226039871,0.7075330900696993,100.0,Exact
Jagatsinghapur,Odisha,885,84.66,20.39,1095.2,98.24,99.47,60.05,30.49,56.84,86.28,82.6,98.31,96.7,,,,13.16,58.15,1136971,1020991,189,36,11,0,1,3.5259860273009265,1.0773846194530607,18.511426643329862,1.057795808190278,1.292861543343673,100.0,Exact
Cuttack,Odisha,879,80.59,21.34,1019.42,98.2,92.33,60.22,45.14,42.29,83.15,84.2,98.86,98.86,,,63.26,20.42,63.78,2624470,1888423,332,73,22,2,1,3.865659335858544,1.1649932245053147,17.580806842534752,1.1596978007575631,1.3979918694063775,100.0,Exact
Jajapur,Odisha,889,78.65,25.39,1017.96,96.97,92.02,47.35,28.35,53.92,78.36,73.83,93.81,96.11,79.48,,62.59,25.5,66.4,1827192,1692095,260,63,12,0,1,3.723195210670796,0.7091800401277706,15.365567536101697,1.1169585632012389,0.8510160481533248,100.0,Exact
Dhenkanal,Odisha,845,76.22,25.36,1047.39,96.28,63.44,58.2,28.78,55.16,77.05,75.79,94.81,93.22,,,73.38,33.31,61.95,1192811,1075305,167,38,10,2,1,3.533881084901493,0.9299687065530244,15.530477399435508,1.060164325470448,1.1159624478636294,100.0,Exact
Anugul,Odisha,913,73.15,24.49,1026.84,96.69,76.21,66.42,23.8,63.06,74.63,83.65,85.71,89.78,86.98,,75.52,28.06,75.29,1273821,1067275,166,32,9,3,1,2.998290037712867,0.8432690731067437,15.553629570635495,0.89948701131386,1.0119228877280926,100.0,Exact
Nayagarh,Odisha,881,76.09,23.07,1082.93,98.32,82.92,67.05,42.27,49.28,81.86,90.27,98.29,98.36,,,,20.0,55.2,962789,883051,166,38,12,1,1,4.303262212488293,1.3589249092068294,18.79846124402781,1.290978663746488,1.6307098910481954,100.0,Exact
Khordha,Odisha,827,84.41,22.18,1024.07,99.51,94.63,73.15,63.3,43.15,85.7,91.02,97.78,97.37,,,,17.07,56.11,2251673,1167357,202,75,16,0,2,6.424769800498049,1.3706175574395836,17.304046662674743,1.9274309401494143,1.6447410689275002,100.0,Exact
Puri,Odisha,870,83.33,21.59,1045.07,99.5,98.52,67.33,34.42,61.45,87.67,94.92,97.67,94.94,,,,13.78,51.04,1698730,1433800,241,52,17,0,1,3.6267261821732455,1.185660482633561,16.808480959687543,1.0880178546519736,1.4227925791602734,100.0,Exact
Ganjam,Odisha,849,68.59,24.61,1165.14,99.28,89.6,72.89,63.73,51.88,71.86,82.72,93.01,92.38,88.46,,,23.94,61.28,3529031,2761030,460,101,28,4,1,3.6580551460867854,1.0141142979250497,16.660449180197247,1.097416543826036,1.2169371575100596,100.0,Exact
Gajapati,Odisha,855,55.47,28.21,1087.03,94.14,78.05,58.26,28.93,39.62,50.52,83.04,76.37,80.35,92.58,,,43.35,64.39,577817,507151,136,22,8,0,1,4.337958517285779,1.5774394608311924,26.81647083413027,1.3013875551857337,1.8929273529974309,100.0,Exact
Balangir,Odisha,909,69.26,23.9,1056.44,97.83,92.88,66.27,32.57,43.98,69.8,95.41,97.88,98.18,,,,32.68,74.94,1648997,1451616,226,48,15,2,1,3.3066596124594936,1.0333311288935916,15.568855675330116,0.991997883737848,1.23999735467231,100.0,Exact
Nuapada,Odisha,881,60.88,27.22,1060.12,94.58,97.49,58.37,23.23,45.3,57.19,71.65,89.8,92.7,97.0,,,43.07,73.48,610382,576328,95,17,5,1,1,2.9497091933759942,0.8675615274635278,16.483669021807028,0.8849127580127982,1.0410738329562332,100.0,Exact
Kalahandi,Odisha,919,62.51,25.78,1051.18,97.19,96.53,64.42,28.89,48.62,63.75,82.85,92.75,92.18,,,,32.96,68.77,1576869,1454882,242,46,18,1,1,3.161768445825847,1.2372137396709837,16.633651388909893,0.9485305337477542,1.4846564876051804,100.0,Exact
